CPUs,Experimento,Ambiente,Tempo
1,1,kvm_2_Ex,105.5162
1,2,kvm_2_Ex,105.4377
1,3,kvm_2_Ex,105.3534
1,4,kvm_2_Ex,105.8685
1,5,kvm_2_Ex,105.345
1,6,kvm_2_Ex,105.3934
1,7,kvm_2_Ex,105.395
1,8,kvm_2_Ex,105.349
1,9,kvm_2_Ex,105.303
1,10,kvm_2_Ex,105.4732
1,11,kvm_2_Ex,105.3316
1,12,kvm_2_Ex,105.3622
1,13,kvm_2_Ex,105.7336
1,14,kvm_2_Ex,105.4092
1,15,kvm_2_Ex,105.4567
1,16,kvm_2_Ex,105.3706
1,17,kvm_2_Ex,105.357
1,18,kvm_2_Ex,105.3087
1,19,kvm_2_Ex,105.4274
1,20,kvm_2_Ex,105.3383
1,21,kvm_2_Ex,105.3852
1,22,kvm_2_Ex,105.3296
1,23,kvm_2_Ex,105.4209
1,24,kvm_2_Ex,105.3006
1,25,kvm_2_Ex,105.3317
1,26,kvm_2_Ex,105.3235
1,27,kvm_2_Ex,105.5657
1,28,kvm_2_Ex,105.3783
1,29,kvm_2_Ex,105.3813
1,30,kvm_2_Ex,105.3751
2,1,kvm_2_Ex,52.762
2,2,kvm_2_Ex,52.7
2,3,kvm_2_Ex,53.0304
2,4,kvm_2_Ex,52.696
2,5,kvm_2_Ex,52.6922
2,6,kvm_2_Ex,52.683
2,7,kvm_2_Ex,52.6758
2,8,kvm_2_Ex,52.6762
2,9,kvm_2_Ex,52.6768
2,10,kvm_2_Ex,52.7459
2,11,kvm_2_Ex,52.7338
2,12,kvm_2_Ex,52.7058
2,13,kvm_2_Ex,52.7059
2,14,kvm_2_Ex,53.161
2,15,kvm_2_Ex,52.9313
2,16,kvm_2_Ex,52.6993
2,17,kvm_2_Ex,52.7861
2,18,kvm_2_Ex,52.6941
2,19,kvm_2_Ex,52.692
2,20,kvm_2_Ex,52.7968
2,21,kvm_2_Ex,52.6893
2,22,kvm_2_Ex,52.6874
2,23,kvm_2_Ex,52.7798
2,24,kvm_2_Ex,52.7183
2,25,kvm_2_Ex,52.7
2,26,kvm_2_Ex,52.6926
2,27,kvm_2_Ex,52.703
2,28,kvm_2_Ex,52.6897
2,29,kvm_2_Ex,52.6813
2,30,kvm_2_Ex,52.6913
4,1,kvm_2_Ex,26.3514
4,2,kvm_2_Ex,26.3691
4,3,kvm_2_Ex,26.5851
4,4,kvm_2_Ex,26.3974
4,5,kvm_2_Ex,26.4011
4,6,kvm_2_Ex,26.3589
4,7,kvm_2_Ex,26.3486
4,8,kvm_2_Ex,26.3586
4,9,kvm_2_Ex,26.3489
4,10,kvm_2_Ex,26.3509
4,11,kvm_2_Ex,26.3507
4,12,kvm_2_Ex,26.3493
4,13,kvm_2_Ex,26.3501
4,14,kvm_2_Ex,26.466
4,15,kvm_2_Ex,26.5461
4,16,kvm_2_Ex,26.4741
4,17,kvm_2_Ex,26.3428
4,18,kvm_2_Ex,26.3424
4,19,kvm_2_Ex,26.3678
4,20,kvm_2_Ex,26.3557
4,21,kvm_2_Ex,26.3561
4,22,kvm_2_Ex,26.3599
4,23,kvm_2_Ex,26.3434
4,24,kvm_2_Ex,26.4569
4,25,kvm_2_Ex,26.4789
4,26,kvm_2_Ex,26.4111
4,27,kvm_2_Ex,26.3519
4,28,kvm_2_Ex,26.443
4,29,kvm_2_Ex,26.3515
4,30,kvm_2_Ex,26.58
8,1,kvm_2_Ex,13.2572
8,2,kvm_2_Ex,13.1958
8,3,kvm_2_Ex,13.2638
8,4,kvm_2_Ex,13.3199
8,5,kvm_2_Ex,13.1903
8,6,kvm_2_Ex,13.1911
8,7,kvm_2_Ex,13.296
8,8,kvm_2_Ex,13.2235
8,9,kvm_2_Ex,13.1951
8,10,kvm_2_Ex,13.1976
8,11,kvm_2_Ex,13.2137
8,12,kvm_2_Ex,13.2501
8,13,kvm_2_Ex,13.1806
8,14,kvm_2_Ex,13.2285
8,15,kvm_2_Ex,13.3657
8,16,kvm_2_Ex,13.2836
8,17,kvm_2_Ex,13.1837
8,18,kvm_2_Ex,13.1891
8,19,kvm_2_Ex,13.2768
8,20,kvm_2_Ex,13.182
8,21,kvm_2_Ex,13.2299
8,22,kvm_2_Ex,13.1883
8,23,kvm_2_Ex,13.2496
8,24,kvm_2_Ex,13.2172
8,25,kvm_2_Ex,13.2237
8,26,kvm_2_Ex,13.2697
8,27,kvm_2_Ex,13.2471
8,28,kvm_2_Ex,13.2332
8,29,kvm_2_Ex,13.2983
8,30,kvm_2_Ex,13.207
16,1,kvm_2_Ex,7.0077
16,2,kvm_2_Ex,6.9937
16,3,kvm_2_Ex,7.2607
16,4,kvm_2_Ex,7.4286
16,5,kvm_2_Ex,6.7229
16,6,kvm_2_Ex,7.0084
16,7,kvm_2_Ex,7.1401
16,8,kvm_2_Ex,7.274
16,9,kvm_2_Ex,6.658
16,10,kvm_2_Ex,6.965
16,11,kvm_2_Ex,6.8944
16,12,kvm_2_Ex,7.4774
16,13,kvm_2_Ex,6.6626
16,14,kvm_2_Ex,7.0118
16,15,kvm_2_Ex,6.92
16,16,kvm_2_Ex,7.2703
16,17,kvm_2_Ex,6.6816
16,18,kvm_2_Ex,6.7672
16,19,kvm_2_Ex,6.9241
16,20,kvm_2_Ex,7.1722
16,21,kvm_2_Ex,6.8102
16,22,kvm_2_Ex,7.0405
16,23,kvm_2_Ex,7.1011
16,24,kvm_2_Ex,6.6642
16,25,kvm_2_Ex,6.9165
16,26,kvm_2_Ex,7.4967
16,27,kvm_2_Ex,7.0413
16,28,kvm_2_Ex,6.9579
16,29,kvm_2_Ex,6.8141
16,30,kvm_2_Ex,6.8328
10,1,kvm_2_Ex,10.7544
10,2,kvm_2_Ex,10.6352
10,3,kvm_2_Ex,10.6582
10,4,kvm_2_Ex,10.6125
10,5,kvm_2_Ex,10.5512
10,6,kvm_2_Ex,10.6348
10,7,kvm_2_Ex,10.6428
10,8,kvm_2_Ex,10.6396
