CPUs,Experimento,Ambiente,Tempo,Perf,Perf1,Perf2,Perf3,Perf4,Perf5
1,1,kvm_1,105.4735,0,1,1,1,1,1
1,2,kvm_1,105.3613,0,1,1,1,1,1
1,3,kvm_1,105.3186,0,1,1,1,1,1
1,4,kvm_1,105.3263,0,1,1,1,1,1
1,5,kvm_1,105.3767,0,1,1,1,1,1
1,6,kvm_1,105.3417,0,1,1,1,1,1
1,7,kvm_1,105.3439,0,1,1,1,1,1
1,8,kvm_1,105.363,0,1,1,1,1,1
1,9,kvm_1,105.3183,0,1,1,1,1,1
1,10,kvm_1,105.3517,0,1,1,1,1,1
1,11,kvm_1,105.3454,0,1,1,1,1,1
1,12,kvm_1,105.3762,0,1,1,1,1,1
1,13,kvm_1,105.3295,0,1,1,1,1,1
1,14,kvm_1,105.3453,0,1,1,1,1,1
1,15,kvm_1,105.4935,0,1,1,1,1,1
1,16,kvm_1,105.4727,0,1,1,1,1,1
1,17,kvm_1,105.3538,0,1,1,1,1,1
1,18,kvm_1,105.352,0,1,1,1,1,1
1,19,kvm_1,105.3489,0,1,1,1,1,1
1,20,kvm_1,105.3468,0,1,1,1,1,1
1,21,kvm_1,105.5632,0,1,1,1,1,1
1,22,kvm_1,105.3672,0,1,1,1,1,1
1,23,kvm_1,105.3538,0,1,1,1,1,1
1,24,kvm_1,105.3469,0,1,1,1,1,1
1,25,kvm_1,105.3235,0,1,1,1,1,1
1,26,kvm_1,105.4673,0,1,1,1,1,1
1,27,kvm_1,105.4467,0,1,1,1,1,1
1,28,kvm_1,105.3335,0,1,1,1,1,1
1,29,kvm_1,105.3303,0,1,1,1,1,1
1,30,kvm_1,105.4831,0,1,1,1,1,1
1,1,Xen_1,93.6676,1,1,1,1,1,1
1,2,Xen_1,93.3818,1,1,1,1,1,1
1,3,Xen_1,93.5418,1,1,1,1,1,1
1,4,Xen_1,93.6017,1,1,1,1,1,1
1,5,Xen_1,93.6411,1,1,1,1,1,1
1,6,Xen_1,93.4728,1,1,1,1,1,1
1,7,Xen_1,93.5371,1,1,1,1,1,1
1,8,Xen_1,93.6536,1,1,1,1,1,1
1,9,Xen_1,93.5071,1,1,1,1,1,1
1,10,Xen_1,93.5229,1,1,1,1,1,1
1,11,Xen_1,93.4554,1,1,1,1,1,1
1,12,Xen_1,93.5258,1,1,1,1,1,1
1,13,Xen_1,93.2733,1,1,1,1,1,1
1,14,Xen_1,93.712,1,1,1,1,1,1
1,15,Xen_1,93.6367,1,1,1,1,1,1
1,16,Xen_1,93.7482,1,1,1,1,1,1
1,17,Xen_1,93.4258,1,1,1,1,1,1
1,18,Xen_1,93.2931,1,1,1,1,1,1
1,19,Xen_1,93.631,1,1,1,1,1,1
1,20,Xen_1,93.5335,1,1,1,1,1,1
1,21,Xen_1,93.9857,1,1,1,1,1,1
1,22,Xen_1,93.7082,1,1,1,1,1,1
1,23,Xen_1,93.2559,1,1,1,1,1,1
1,24,Xen_1,93.105,1,1,1,1,1,1
1,25,Xen_1,93.8045,1,1,1,1,1,1
1,26,Xen_1,93.8166,1,1,1,1,1,1
1,27,Xen_1,93.6789,1,1,1,1,1,1
1,28,Xen_1,93.5185,1,1,1,1,1,1
1,29,Xen_1,93.2944,1,1,1,1,1,1
1,30,Xen_1,93.7535,1,1,1,1,1,1
2,1,kvm_1,53.1001,0,1,1,1,1,1
2,2,kvm_1,52.7978,0,1,1,1,1,1
2,3,kvm_1,52.6654,0,1,1,1,1,1
2,4,kvm_1,52.7925,0,1,1,1,1,1
2,5,kvm_1,53.0053,0,1,1,1,1,1
2,6,kvm_1,52.6713,0,1,1,1,1,1
2,7,kvm_1,53.3817,0,0,1,1,1,1
2,8,kvm_1,53.0121,0,1,1,1,1,1
2,9,kvm_1,52.71,0,1,1,1,1,1
2,10,kvm_1,52.8109,0,1,1,1,1,1
2,11,kvm_1,52.7016,0,1,1,1,1,1
2,12,kvm_1,52.817,0,1,1,1,1,1
2,13,kvm_1,53.1779,0,0,1,1,1,1
2,14,kvm_1,52.8258,0,1,1,1,1,1
2,15,kvm_1,53.1676,0,0,1,1,1,1
2,16,kvm_1,53.208,0,0,1,1,1,1
2,17,kvm_1,52.6906,0,1,1,1,1,1
2,18,kvm_1,53.4052,0,0,1,1,1,1
2,19,kvm_1,52.7883,0,1,1,1,1,1
2,20,kvm_1,52.9133,0,1,1,1,1,1
2,21,kvm_1,52.9965,0,1,1,1,1,1
2,22,kvm_1,52.849,0,1,1,1,1,1
2,23,kvm_1,53.4399,0,0,1,1,1,1
2,24,kvm_1,52.8412,0,1,1,1,1,1
2,25,kvm_1,53.903,0,0,0,1,1,1
2,26,kvm_1,52.8995,0,1,1,1,1,1
2,27,kvm_1,52.7943,0,1,1,1,1,1
2,28,kvm_1,53.0729,0,1,1,1,1,1
